concerns,concerns category,anything else,anything else category
More difficult to absorb content by reading through a textbook. IMO the lecture videos are not very helpful,AC,No,NC
I sometimes have a little difficulty understanding the nuanced concepts if they weren't directly covered in a lecture video.,AC,None,NC
Learning material independent because I have scheduling conflicts that inhibit me from attending studio sessions,AC,Not really,NC
I am worried that I will procrastinate too much or struggle to understand topics even with instructor aid or help from other students.,PC,I think I need to do much more practice with questions than the MMLs so I can be more familiarized with solving these type of problems.,AC
"I am more used to learning in person and this curse has a lot of freedom in learning methods, unlike other courses I've taken in the past.",AC,,NC
None,NC,The course is interesting so far.,NC
"I'm just a little worried that I'll think I know something when in reality I don't.

Another struggle for me is not having an in person teacher to talk to.",AC,N/A,NC
"Staying on top of everything, specifically not overlooking any assignments (not seeing them until too late).",AC,"nope, thank you!",NC
"Just that it might not be the same feeling as taking it in person. I'm a much better learner when an actual lecturer is talking, I feel like online doesn't give you the same feeling.",AC,"I feel like the lectures could go into more detail about the types of problems we will see on examinations, I love seeing problems explained on video so I feel like it would really help me in the future.",AC
Not being able to have face to face interactions (this the way I learn the best).,AC,"I enjoy when you explain a concept from multiple angles, it helps me grasp the ideas.",NC
"I have some concerns that I may not be able to learn as well from watching videos as I would from having a lecture in person. Other than that, I do not have any concerns.",AC,no,NC
Learning from videos online rather than interacting with a professor in the classroom.,AC,A lot more vocab and understanding than just doing the math.,AC
"Sometimes it can be a little difficult to get the help I need, but Piazza helps.",AC,No,NC
I feel as if I will lack the ability to truly clear my doubts. I tend to be a learner who does well asking a lot of questions and really thrive in an in person environment.,AC,I am liking the class so far and have no individual needs.,NC
None. I like it so far. There are no problems.,NC,Nope,NC
none,NC,nope,NC
None,NC,n/a,NC
none,NC,none,NC
I need to find a better way to manage my time and not be too close to the deadline so I can submit on time.,PC,Not at the moment.,NC
"I fear that I will not learn the content of the course effectively because we are self learning using a PowerPoint presentation, rather than a traditional teacher teaching the content which would've been better for content absorption and ability to ask questions real time.",AC,N/A,NC
"My only concerns that I usually have with online classes is the connection that have with my teachers, and if there are platforms to communicate with teachers beyond email. However because of the studio sessions that GA Tech Math Year 1 offers, this is not a concern for this course. Beyond that, I don't have any major concerns about taking it remotely, the only thing I worry is that I could possibly get off track because of the remote instruction. However, that is only a concern and incentive for me to stay on top of my work and complete assignments ahead of time.",AC,"Nothing in particular comes to mind in terms of requiring individual needs, however, before the test I was wondering if you have some sort of study guide or primary review materials that work most effectively in preparation for the tests? If not, I will continue to use my textbook, lectures, studio sessions, and piazza.",AC
I don't think I have much concerns as of now.,NC,"I feel that the course is challenging, but perhaps that is because i am not using all of my resources effectively.",PC
I'm worried that I won't understand everything fully since there's no in person teacher to really explain everything thoroughly.,AC,It's definitely a course that's different to every other course I've taken and it feels like I'm getting thrown straight into it so it will take some getting used to for sure.,AC
"Because most of the learning in virtual classes is done through videos/textbooks, it might be hard to understand and master a concept within a given timeframe before quizzes and tests, even with live learning sessions.",AC,"I am excited to learn mathematical concepts that directly tie into computer science because it is my intended major! I do think navigating through third-party software takes some time to get used to, however, and learning new topics each week takes good amount of time to actually undestand them.",AC
"Procrastinating/not holding myself accountable to a steady pace

Difficulty grasping concepts individually, as opposed to the ability to collaborate with peers in a classroom setting",AC,"Impressions so far: reading textbook chapters is probably the most significant teaching materials for me so far, although terminology can be confusing. studio sessions are very helpful but has been hard for me to keep up with the pace.",AC
I do not have any concerns about taking this class remotely.,NC,I really enjoy solving practice problems as a way of learning and mastering new concepts.,NC
None,NC,No,NC
The only concern that I have is actually focusing during the videos and staying on top of my work by not getting behind.,AC,I do not have an individual needs so far. I like the setup of the course.,NC
I wonder whether I will be able to retain information as well as I do from in person class.,AC,I don't think so.,NC
"This course handles hard concepts, so I'm worried if I can do well.",AC,none.,NC
Nothing really.,NC,It seems solid and I don?t have any individual needs,NC
The lack of face-to-face interaction and the ability to effectively communicate with the professor.,AC,"Is there a list of all the vocabulary terms that are useful for this course? And is there additional materials besides the homework, MML, and quizzes to help me study?",AC
Falling behind from not pacing myself well or not fully understanding concepts.,AC,"I noticed that this course treats doing the actual math/calculations and understanding the concepts as equivalent. When taking a quiz or doing homework, I find myself answering the same number or more questions testing my conceptual understanding of the lessons then questions asking for a calculation or numerical answer.",AC
"I am concerned about the procrastination aspect of online learning. It'll be difficult to force myself to stay on track, but I know it will be worth it.",PC,I have been enjoying the course so far! It is a bit challenging as I am relying mostly on the lecture recordings and myself.,NC
My personal concern about taking this class remotely is how I will keep myself motivated to stay on top of my work without letting myself procrastinate and taking this class remotely means I will have to have more independence in completing tasks on time.,PC,"So far, I have quickly learned and adapted to the different platforms used in this course and I appreciate there being a schedule of the exams and assignment due dates as it allows me to pace myself and keep myself on track.",NC
"I am worried about a few things for this remote class. I'm mostly concerned about learning from lecture videos and online meetings because this isn't my ideal learning style. I have done best in class when I can actively ask questions and work with a teacher in person, so this class will take some getting used to. I am also concerned about the self-pacing, and I fear that I'll dig myself a hole by procrastinating too much.",AC,"No, there is nothing that I think of to answer this question.",NC
"Some concepts, included in MML questions, are not covered by lecture. I need to search online or in the textbook for more information.",AC,None,NC
The only concern I have is that I learn math better when it's taught in person. It is easier for me to understand and ask questions.,AC,"My only concern would be that I believe the examples in the videos go a bit too quickly so I don't get to understand where you get all the numbers from and it becomes a bit confusing. Other than that, the course is going good so far.",AC
The proctored exams are the only thing that concerns me. It might be hard to organize the students at my school when it comes to exam day.,AC,My initial impression of the course is very positive and I can not wait to learn.,NC
"I feel like I have the resources to do well in the class, but this is the first rigorous class that I have taken remotely, so I am worried that I will not be able to learn all the material to the extent that the exam requires.",AC,"So far the course is VERY conceptual, but it does intertwine with what I've previously learned in physics and calculus.",AC
I am slightly worried about being prepared for exams because compared to assignments it seems much more restrictive; assignments and exams seem to be very different in approach and I worry that these differences in approach could be problematic on an exam. I specifically mention writing out problems in an organized manner and solving them within time limits. To a lesser degree I also worry about staying on top of the class but I have been good about that thus far.,AC,"I have thoroughly enjoyed the textbook for the class thus far and I think it presents the material in a very clear manner with useful examples. I also really like the way the course is structured; the ability to do assignments at your own pace and being able to check answers/consult resources is very nice and makes the process less stressful. Being able to attempt as many times as necessary and with no time constraint is great because it lets you focus only getting the question right and understanding it. Written assignments also seem helpful as they address one of my concerns earlier with the tests; I am hoping that the feedback and practice will prepare me for how to format things on exams.

",AC
"I feel like the lectures are a little bit lacking in really explaining concepts rather than just telling what they are, but the studio sessions help me grasp the concepts a little bit more.",AC,I like this class,NC
No Concerns,NC,No.,NC
"the possibility of not being updated on information and possibly missing out on reminders (not checking the right place) as well as connectivity issues (wifi, slow loading, etc.)",TC,Nothing in particular. Thanks!,NC
"I noticed that the Written Assignment is placed for week 3, but it's due in two days. I hope I didn't accidentally miss something about this.",PC,"

no",NC
None yet!,NC,no,NC
Nothing!,NC,"My impression of the course so far is that it kind of work like my AP Calculus BC in term of the lectures. Therefore, I kind of get use to it. However, some of the concepts in the video did not cover deeply as much as in the meeting so I realize that attend the meeting is very essential.",AC
lack of face to face & one to one help,AC,not as of right now,NC
"I am just worried about testing during school, so like the exams. I just would like to know beforehand how and exam feels like before an actual exam. I know we have like a practice exam.",AC,I would like some form of emphasize and expansion on the explanations given in the video. Sort of like making more analogies to daily things.,AC
None,NC,None,NC
"I am concerned about being able to truly comprehend the information presented in reading a textbook online/watching a lecture video where I can not ask tiny questions about things and can easily get distracted. the inability to ask a classmate directly next to me little questions also concerns me because I learn through discourse and remember little conversations best. I do know we have annoto and piazza, though, and intend to take advantage of both those resources. Staying accountable and making sure I actually understand the material and not just know how to answer questions on Pearson, but will be ready for curveball tests is another concern.",AC,"Thank you for clearly outlining deadlines, it helps a lot to link the canvas calendar to my personal google calendar.",NC
n/a,NC,No,NC
"It's harder to get the help you need when it's remote because we're not all in a room together to ask questions. I also prefer that most of the assignments are on paper, but with the remote class, the assignments are online and we have to do out work on computer.",AC,"Nope, I think it's going pretty good so far.",NC
I don't have any concerns.,NC,nope.,NC
"I'm worried that because of the lack of a traditional classroom environment, I won't have peers to turn to with questions about material. I learn best in interactive classroom environments. I can fix this problem by attending studio sessions, but I worry it won't be as effective.",AC,"I find this course to be challenging, but doable.",AC
I have concerns with falling behind on content or not understanding a certain topic overall from the lecture notes or the video. I would like to know if there are any other videos (besides the ones in GT Math) that discusses the topics in case I may not understand one topic from lectures.,AC,"I would like to know where to go for extra resources outside of GT math to understand a certain topic. Some impressions I had was the concepts were difficult to understand but the math portion of solving for the solution were not too bad. Otherwise, I think I am set for the class!",AC
"The only concern I have about taking this class remotely is that I might slack off, but so far I've made sure to prevent that.",AC,No.,NC
Staying motivated and on track,PC,It's very well organized!,NC
I believe it is difficult to ask questions during module videos like I would be able to during a live lecture but I can use piazza to ask any specific questions.,AC,No,NC
No.,NC,No.,NC
Getting into the details of the topics.,AC,It has been great so far!,NC
I have concerns with keeping up with the work deadlines and understanding hard topics without asking questions in live classes.,AC,"The content does not seem too complicated yet, but the homeworks are challenging sometimes.",AC
"For the most part I am optimistic about the course, but my one concern would be staying on track and not getting behind.",AC,I think the course is great and Georgia Tech has done a good job organizing it.,NC
None,NC,N/A,NC
"One concern I have is that it can be harder to engage with professors and classmates compared to going in person. Another concern is that I might struggle a little to stay motivated. When we go in person for classes, it's easier to stay focused since we have to physically travel to school. However, it's easier to say ""I can do this later"" for virtual classes.",AC,"I like the course so far! I like that the videos are around 10 minutes because I am able to stay more focused. It allows me to break the content down into manageable pieces. If there is any way that you could make more videos walking us through examples, that would be very helpful.",AC
It is a bit difficult to really find time and get down to really working on it because it is mostly self directed.,AC,There is nothing I can think of at the moment.,NC
My main concern is being unable to do an assignment because of my inconsistent home internet (it just goes out sometimes for zero reason).,AC,No :),NC
N/A,NC,N/A,NC
"I feel that in terms of math classes, I benefit a lot more in person as I get quick answers to a lot of little questions. Since this is online and I do my work at various times throughout the day, it is a lot harder to get the same responsiveness as I do in a classroom.",AC,N/A,NC
n/a,NC,n/a; It's been going pretty well.,NC
N/A,NC,N/A,NC
I do not have any.,NC,"Nothing that I can think of, everything seems to be going well so far.",NC
I don't have any concerns about taking this class remotely rather than in person.,NC,"There's nothing to really worry about, I just didn't expect that the content would take me so long to understand for things that seemed simple.",AC
I do not have any concerns.,NC,n/a,NC
--,NC,--,NC
"Personally, I have to work to self-motivate and stay on top of deadlines. Also, even though Piazza is available, I feel that getting help could be more difficult.",AC,"So far I feel like the pace of the course is manageable while still being rigorous. It feels like there is work to be done, but it is not overwhelming so far.",AC
"I worry about the content staying the same with practice in the modules and on the test day. Because this is my first dual enrollment class, I really don't know what to expect. However, deadlines and overviews of the week are super helpful, so I appreciate those.",AC,"The course seems straightforward, but learning from only videos is a bit of an adjustment. Guides with overviews and key points of lectures would be helpful, and I think I'll make one with some friends before the tests. Overall, I just want more practice with all the concepts, especially before test day.",AC
"I am concerned with the fact that I have never done an online math class, and I am not used to this type of instruction.

",PC,"Nothing, at this point! Thank you so much!",NC
Making the live sessions. My class periods don't line up with the sessions offered in the morning and I have sports after school.,PC,I like how the class is structured with extra time before assignments are due after the week so you can truly grasp the concepts before submitting work.,NC
"It's not too big of a concern, but one nonetheless: I will have a hard time attending office hours and studios due to the schedule in which they follow. I can always watch back the videos, but also being online will not have the same directness that in-person teaching can provide. If there are any other external resources (anything aside from reading the textbook, watching lectures, studios) that could help, please include a list somewhere accessible (specifically anything that could explain concepts differently, altered wording, changed perspective, etc.). I have yet to find myself needing it, but it may be useful in the future. Other students may need it as well.",AC,"I have eye irritation and dryness, so spending extended periods of time on a computer is not recommended for me. I always have eye drops on hand, wear my glasses when using a device, and take 10-20 minute breaks for every 3-4 hours or so on a light-emitting device. However, I am usually able to complete my coursework in a timely manner since I have gotten used to work plans and breakdowns over the years (and the work so far has definitely proved to be manageable). That being said, it should not be of too much concern, but I just wanted to let you know in case I have few bad eye days and cannot complete assignments on time. Bad days usually consist of headaches, fever, irritation, dryness/constant blinking/blurry vision, pulsating/pressure, etc. that warrants lots of cognitive rest. I should still be fine on proctored exam days.",PC
Getting help and making sure I understand the material. Reviewing for tests without any other students to discuss it with in person.,AC,"I am the only student at my school taking this course, so it is weird not being able to talk about it with students at my high school. I have enjoyed it so far and really like how the lectures are fast and easy to get through.",AC
"I have found, through COVID, that I tend to get distracted while working on computers.",PC,"I think the contents of this course will be great fun, and I think that I will learn a lot this semester.",NC
Scheduling conflicts with exams,AC,Nope!,NC
I am not too concerned about the remote aspect of this class as I have dual enrolled classes before and feel more confident that I will keep up with the workload.,AC,"No, just that I am excited for this year!",NC
"I'm a little concerned about not being able to fully understand the material and pacing myself through the modules and videos, since taking the class remotely is different than taking it in person.",AC,"So far, I'm really liking this course! We can work at our own pace but also receive all of the instruction and materials needed to be successful.",NC
I am concerned that I will not perform well on exams because it is much harder to understand concepts just through short videos and the textbook.,AC,"I have been enjoying the course so far, but it is a little difficult to keep up with all the vocabulary terms and theorems.",AC
N/A,NC,N/A,NC
N/A,NC,"I like the flexible, asynchronous style of the course where we are responsible for our own learning and can watch the lectures or read the textbook in our own time. I also like the practice opportunities the MML homework gives us.",NC
I am concerned about fully understanding the material since I am more familiar with teacher based learning in real life.,AC,I am really liking the flexibility of this course as well as the depth of the topics and how interesting and applicable they are to real-world scenarios such as machine learning.,NC
I do not have any concerns as of now!,NC,I am excited to see how this course plays out and I can't wait to further my math skills!,NC
"I find it hard to pace myself in the midst of online GT courses and in-person high school classes. This may not be the case for everyone, but I find it difficult to balance - this may fix itself with time, though.",PC,"I think that the class itself, not necessarily the format, is difficult in that it's very new, in terms of notation and the types of problems. In this way, it takes longer to do certain problems - possibly even because it's been 3 years since the last algebra course I took.",AC
"I just have to make sure that I keep myself on task, and engage with the course material.",AC,"I find My Math Lab to be incredibly helpful, especially with the examples and mastering the questions.",NC
I am concerned if my internet crashes in the middle of a test.,TC,I think the course is very well organized.,NC
Watching videos is a little harder to learn than in-person learning.,AC,No,NC
None,NC,Excited to get started this year!,NC
"Currently, I do not have any concerns about taking this class remotely as it is still the beginning of the course.",NC,Nope :),NC
I've not done well in remote classes because of how impersonal it is. I may also have a hard time (compared to taking classes in-person) finding help and getting feedback.,PC,I am the only student taking this course in my school and county.,PC
the only problem is my time management skills are going to be a problem but this class will help work on this,PC,not that i can think of,NC
None,NC,Not really,NC
"I don't have any concerns. I have access to the materials and resources we are using in this class. I am a bit nervous about my own ability to manage the course, but I have strategies in place to help me throughout the year!",PC,"This course seems challenging; at first, I was intimidated by the number of applications we would be using, but I'm slowly getting used to it!",AC
"Typically, I find virtual courses more difficult than in-person due to not have live instruction, and I'm worried that taking such a difficult class this way will lead to me not understanding the material.",AC,The actual *math* involved in the course seems relatively simple so far but the amount of complicated vocabulary and terminology is making some topics difficult.,AC
,NC,"The canvas video player is a little buggy on safari, will skip forward whenever the video is paused and unpaused. Not too big of a problem since I can just use chrome but it would be convenient.",TC
I don't have concerns,NC,I'm having trouble conceptualizing the idea of vectors in a 3d plane,AC
I'm just scared that I'm not getting enough practice and lectures compared to an in-person class.,AC,none,NC
none,NC,none,NC
No significant concerns,NC,n/a,NC
The concept might be difficult to understand and questions might be difficult to ask.,AC,N/A,NC
I have no concerns.,NC,I think the course is very well structured and easy to follow.,NC
It is harder to learn form videos rather than being in person in a classroom.,AC,There is a lot more vocabulary and ideas than past math classes.,AC
I'm concerned there is not enough practice pertaining specifically to each video to help me adequately grasp each concept. I feel if there were a few problems that were catered to each concept specifically that it would help me understand each concept more easily.,AC,same as other concerns,AC
I find it harder to learn from a short 5-10 minute lecture video than an actual lecture.,AC,There's a lot of vocabulary/concepts/theories as opposed to past math classes.,AC
No questions.,NC,The course is going pretty well so far. There are no concerns from me.,NC
Forgetting a deadline,AC,N/A,NC
N/A,NC,It's a very in-depth course. I'm the only one from my high school taking it so that's an interesting experience.,NC
I'm a little concerned about my ability to comprehend all the material just from lecture videos and office hours.,AC,No,NC
"As of right now, I have no concerns about taking this class remotely.",NC,"So far, the course is going quite well and the short lecture-lesson videos are easy to understand in terms of the content and the examples. I am able to view and use the tools and videos quite easily and the notes paired with the video content are quite helpful in answering the homework questions and the practice quizzes.",NC
Not being able to fully understand the material or have a strong foundational base despite knowing how to do the math. Basically not really understand what I am doing and why.,AC,Not as of now.,NC
One minor concern that I have is that I might not be able to make some of the studio sessions because of scheduling conflicts.,AC,No.,NC
No concerns as there are many opportunities to ask questions and to practice. This helps make remotely learning easier than my past experiences at the start of covid.,NC,"I initially thought the course was extremely hard, but so far it's somewhat bearable.",NC
Holding myself accountable to fully understand the material.,AC,N/a,NC
"I would be concerned about asking questions, but you've got Piazza for that.",AC,Seems like a solid math class!,NC
n/a,NC,nope!,NC
"No concerns currently, even though the class is remote, I can have my questions answered in various ways (Piazza, studio sessions, etc.) which makes me feel more prepared.",NC,"I like the structure of the course so far, I just feel like it's a lot of work for the first 2 weeks reading 3 sections at a time, doing homework, watching lectures, and attending studio sessions. However, looking at future weeks in the course, there are only 2 sections of reading a week, which makes the pace seem better.",AC
I am worried about making sure that I understand the concepts without having a teacher in the same room as me to explain and answer questions.,AC,"I like how organized the course has been so far, and the structured format of the weekly videos and assignments is very helpful for me. I also really like the studio sessions because they help me gain a better understanding of topics.",NC
"I'm worried about the learning experiences, as I usually excel more in in-person than online classes. I feel a disconnect between the teachers and myself, and I think that hinders my performance. I have loved every single math course I have taken and often did well, but this course is more rigorous and challenging, with it being remote on top of that. I hope we can receive the same direct attention.",AC,"My impressions of this course so far are that it is very difficult and the concepts are very complex when understanding them at first. However, I do believe it is somewhat manageable. I just believe that more of an organized ""lecture"" format and guided notes would help, as the true/false questions throw a curveball at me, just when I think I understand the material.",AC
None,NC,N/A,NC
Lack of face to face collaboration with other classmates to increase understanding in certain topics.,AC,No,NC
I couldn't ask questions immediately and receive answers immediately.,AC,"I'm a bit worried about my progress and understanding of the topics we learned so far, as I struggled and spent too much time finishing math lab questions. I will try to attend the office hour lively later on.",AC
"That I'll miss an assignment that we had to do, but hopefully this will not happen due to the syllabus and my having classmates in this course with me.",AC,"I will need to request accommodations soon for my ADHD and anxiety. But overall this course has been very straightforward regarding textbooks, modules, studios, and practices. Thank you for uploading the recordings of the studio sessions as well!",PC
None,NC,No,NC
n/a,NC,n/a,NC
I believe my greatest concern over learning remotely is how the course will differ from working in a classroom. It makes time management a bit more challenging as you do not have the daily reminder of walking into the class. I also feel like you can miss out on classmate collaboration a bit.,AC,"I am really enjoying the course thus far. It?s a bit challenging, but overall rewarding.",AC
None,NC,No,NC
"The lack of a direct access to the teaching source, but there are also teachers in my school who are familiar with the topic, so it is honestly not that big an issue.",AC,"Nope, thank you!",NC
none,NC,"none

",NC
This is already pretty challenging so I'd probably be spending a lot of time on it.,AC,This is time consuming but fun,NC
N/a,NC,N/a,NC
"I have to be more responsible for managing my time and getting assignments done, as there is no physical class to sit in reminding me to do work.",AC,"I had a little trouble with set up, but everything should be fine now!",NC
None,NC,N/A,NC
None,NC,None,NC
"The only concern I had was being able to contact the professors or TAs for any help, but that concern was cleared in the syllabus.",AC,Videos are great so far!,NC
"I don't really have any major concerns, but I'm just scared that I might not see an assignment and miss a deadline.",AC,The course seems fine.,NC
I am afraid I won't complete my homework or turn stuff in on time.,AC,,NC
None,NC,"None, I have had a good impression of the course so far.",NC
None,NC,No,NC
Not getting to know the teachers as well as I would like. I value in-person contact greatly.,AC,I love the layout of Canvas a lot. I hope the rest of the college classes I take will be this organized. Knowing all the information I need is available from multiple sources is relieving.,NC
"My only concern is how much time should I be expected to allocate to this class each day. Separate from my class time, I only have so much free time to allocate to doing linear algebra and I am just wondering how much I should be expected to do.",AC,"All I need you to know is that I have very little free time to do other things because I am so busy with my other work and my job. I can maintain it but then again, I do not have too much free time to allocate towards Linear Algebra work outside of the class time I am given.

I love this course so far! I am excited to keep moving forward in math and maybe take the second year next year!",PC
I am concerned that I am not fully grasping concepts because of the course's remote nature.,AC,"So far I feel that the video lectures are very informative, alongside the examples they for each question of the MML assignments.",NC
I do not have any concerns.,NC,There is nothing so far.,NC
"If I can keep up with the relatively unique class experience and deadlines on top of other classes, but that's already expected of the people who got in.",AC,None :D,NC
None. The way Piazza and the Studios have been designed makes me confident I will be able to ask a question and learn the answer if necessary.,NC,"Very straightforward in the videos, I enjoy the examples and the feedback that is given if a question is posted at a certain timestamp.",NC
None really.,NC,No.,NC
N/A,NC,I am liking the course so far probably because it is challenging me to use my imagination more in math.,NC
none,NC,none,NC
It might be difficult to learn the material since there is no in-person teacher. I can't ask questions and get immediate responses while watching lecture videos.,AC,N/A,NC
I do not have any concerns about taking this class remotely.,NC,I'm very excited about the course so far!,NC
I'm concerned that I won't have the level of understanding of this course as I would have had if I was in person. I'm also concerned that I may fall behind schedule without being able to finish assignments in class.,AC,No,NC
None,NC,"No, not really.",NC
"No one else at my school is taking the same class as me, so I'm worried I will get confused on something and not be able to ask anyone for help. I am only available for the Wednesday afternoon live sessions as I have an afterschool class on Mondays.",AC,"So far this has been my most challenging course, but the more time I put into it the easier it is to grasp concepts.",AC
I am concerned about not understanding the concepts as easily. I might have to teach myself.,AC,"This course seems difficult, but I love that it is something I have never touched on before.",AC
n/a,NC,n/a,NC
"* struggle to keep up with material

* difficulty processing the new lessons",AC,"Nothing specific, I think the class is well structured and organized",NC
N/A,NC,N/A,NC
Keeping track of all of the work in all of the seperate places before their due dates.,AC,"The course assignments are slightly better organized by week then other dual enrollment classes I am taking, and it would be great if it could continue to be this way.",AC
Nothing to be honest.,NC,"No, not really",NC
Mainly if there is something very important not covered in lectures/textbook. It's always worrying to have classes want knowledge you never learned (or was deliberately overlooked for efficiency),AC,Not really,NC
I do not have any concerns.,NC,"I like the community of Distance Math and so far, I prefer learning through the textbook over the lectures, but still go through both.",AC
just forgetting to do an assignment,AC,no,NC
I don't have any.,NC,"I am excited to learn about linear algebra, a topic that I haven't thoroughly went over yet.",NC
Being able to effectively receive help if needed. Also pacing myself.,AC,no,NC
I fear that I will not be adequately prepared for the in-person tests. I plan to study in study groups and do plenty of practice prior to these tests to ensure that I feel prepared.,AC,Nope!,NC
"I am worried about not being able to ask questions in person since I do not have anyone else in my county taking this course, or teachers that would be able to answer my questions. I know there are many office hours to ask questions, but I am still concerned about in-depth questions that are hard to ask on a call.",AC,"I do have a lot of afterschool activities, especially during the winter time. They should not really affect my ability to complete work on time, but I may not be able to attend the studio sessions live, only on recordings.",PC
No concerns,NC,I'm really enjoying the course so far; I like how there are due dates each week but there's still flexibility in when we can watch the lectures/complete assignments.,NC
"One concern I have is asking questions to clarify concepts. I know I cannot directly ask questions as easily as in a face to face setting, but I am glad there office hours opportunities to help.",AC,I think this course is great! I am really excited to see how far I can go with this.,NC
The only one I have is that I might fall behind because of the online nature. another thing would be that there are only 2 tests which count for a lot of the grade so if I do poorly on one I might compromise my grade,AC,Nope,NC
"I do not have any concerns, the instructions and step-by-step guides have been extremely helpful!",NC,"Nothing, I am excited to continue forward with this course!",NC
"What concerns me the most is getting used to all the new platforms, as I have never used these specific websites before, and accidentally forgetting to do assignments.",AC,Not that I can think of!! I have really liked how a lot of this is laid out though! It makes it very easy to learn in a style that works best for you.,NC
"My main concern would be content-related questions if all my peers are also confused. Usually, we would use YouTube videos and the Textbook to learn. However, some concepts are extremely confusing to where it trips up everyone.",AC,"Nope, I'm holding on for now, but the concepts are definitely confusing and new to me. Will definitely take time to master and require lots of practice like everything else in the world.",AC
Different learning experience without having a physical teacher during an in-person lecture.,AC,Nothing else.,NC
I am worried about not being able to fully express myself and ask sensible questions regarding the content that I get stuck on.,AC,"I will always appreciate it if you can go step by step on most of the questions if possible, in order for me to make sure I don't make any silly mistakes or misunderstandings.",AC
none,NC,none,NC
Making sure I do not miss any assignments and making sure I am truly understanding the content,AC,"I like how organized the course is. For now I feel like i am understanding everything, but I will reach out if that changes.",NC
"The only concern that I have about taking this class is probably the writing assessments. Based off of my past experiences with uploading handwritten work digitally, it can sometimes be difficult/tedious to upload any of my handwritten work digitally.",AC,"I think that the textbook and the study plan found in the textbook is very helpful in exposing myself to different types of questions,",NC
"I am a little concerned with the shift between in person and remote learning, especially for a college level course. I am also a little concerned with the course rigor.",AC,"The course seems a little challenging at times but manageable. For example, some of the matrix theorems are abstract to me.",AC
Deadlines,AC,I like the course so far.,NC
"I'm concerned about potentially missing deadlines in face-to-face classes, we are often told deadlines repeatedly.",AC,I think this course has a lot of resources and I find the textbook very helpful and thorough in its explanations. I also like the grading policy for this course.,NC
I do not have any concerns.,NC,The course so far seems pretty straight forward with all the assignment due dates already given and MyMathLab is pretty easy to accesses and use.,NC
N/A,NC,N/A,NC
"Some concerns I have from taking this course virtually is not being able to fully understand topics from a non-traditional teaching way. The last time I took a math course virtually was during my Covid-19 year and it was difficult to learn and I had to put extra effort in, but I am willing to do that through practice and guidance. From viewing the course syllabus and videos, I am already assured that there is a great support system in place and in my 9th grade year I wasn't sure I had that and felt stressed learning all the math on my own.",AC,Math has always been my favorite subject and I'm excited to learn more through this course.,NC
The lack of further explanation from the professor when confused and having to rely on peers to collectively understand the material to the full extent.,AC,"I feel as though there needs to be greater explanation of each topic, specifically definitions. For example, linear independence and dependence I feel should have a visual that helps describe whatIS and what itMEANS to be linearly independent/dependent. Otherwise, I am blindly trying to memorize the differences without anyway to truly connect them all together. Overall, I think there is a lack of connection between each lesson that really helps elaborate the goal that linear algebra is trying to accomplish.",AC
"With a limited amount of face-to-face time with other students talking about the material, some ambiguities or misunderstandings about how the math works which otherwise would have been cleared up in an in-person class through casual conversation might not in a remote setting.",AC,Nope,NC
"I mostly have concerns with time management. However, I am trying to get ahead of schedule in the upcoming weeks since I know my school work and extra curriculars will start to pick up.",PC,My impressions of this course is that there is a decent amount of workload and individual studying. I am excited to learn in a different way that I am taught at school.,AC
Not being able to solve doubts and questions as easily as an offline class.,AC,Not particularly.,NC
"What concerns me about taking this class remotely is juggling it around with my other classes at school in which I would need to find better ways to study and work smarter, but not harder that will take all of my time away from doing classwork from other classes.",AC,"I think the course is great, I did just realized about where I take notes on in which was from the modules which did mess me up on the 1st assignment, but everything else is doing well. The modules are presented to the degree where almost everyone having different beginnings in regards to approaching this course, to where despite on my 1st assignment not getting a hundred (on my part), I'm glad that I got a 98.8 because of the modules that I find it easier to understand and learn.",NC
My concerns are being able to set time aside to obtain virtual help with any content that I was not able to understand through the videos or through the textbook. The reason why it is difficult to set time aside is because I am very busy with my regular school work.,AC,"If students were to be limited on time, is it best for students to spend their time viewing the lecture videos or reading the textbook pages?",AC
"I do find it more difficult to discuss ideas online, without both parties having access to the same blackboard/whiteboard.",AC,"So far, I'm enjoying the course and have no complaints",NC
I do not have any concerns about taking this class remotely.,AC,My impressions of the course so far are that this is a highly conceptual class where there is a lot of vocabulary for me to understand.,NC
"I don't hold many concerns except for the number of websites I might have to switch around and checking my email often as I already have multiple emails for college and school. As long as I stay diligent, it should be fine.",PC,"Course is a struggle I'll say that much.. it's taking time to understand the concepts, so I'll need to put some more in before exam days. It's tough to say the least; things like span and the parallel parameters get confusing conceptually.",AC
"I do not have any concerns about taking this online course, I have done online classes before.",NC,"The videos are good at explaining, although they do not explain everything the textbook does. The textbook explains a lot, however, some of the writing is confusing and takes a long time to understand, at least for me.",AC
"I'm concerned about not turning in an assignment due to the various websites. However, after taking this course for a week, I understand that it's all under ""modules"" and is relatively easy to navigate. I'm also a little worried I won't be able to gauge the extend of my knowledge.",AC,No!,NC
Keeping myself accountable.,PC,Difficult to visualize but I think with practice it will add up.,AC
Not being able to understand the course material without the help of present teachers and students.,AC,No,NC
none,NC,none,NC
None,NC,None,NC
I have concerns about keeping track of my work and concerns that I will get behind on assignments.,AC,"I really enjoy all of the resources that are available to us. I am quite stressed out that such a large portion of our grade is based on just 3 exams, yet I know this is how college classes are often set up, sometimes with an even larger portion of final grade being based on exams.",AC
